Name,Image Path,Description,Height:,DOB:,Birth Place:,Net Worth:,Zodiac:,Relationship Status:,Ethnicity:
LL.Cool J,images/LLCool_J.jpg,"LL Cool J (James Todd Smith) is an American rapper, actor, and entrepreneur. LL Cool J is short for Ladies Love Cool James. He was one of the earliest rappers to enjoy commercial success and is considered one of the pioneers of hip-hop music and one of the genre's most influential figures. He rose to prominence in the 1980s with his debut album, ""Radio,"" which was released in 1985 and is considered a classic of the hip-hop genre. Throughout the 1980s and 1990s, LL Cool J released a string of hit albums and singles, including ""I Can't Live Without My Radio,"" ""I'm Bad,"" and ""Mama Said Knock You Out."" In addition to his successful music career, LL Cool J has also pursued a successful acting career, appearing in numerous films and television shows, including ""NCIS: Los Angeles."" He has received numerous awards and accolades for his contributions to the music and entertainment industries and continues to be a major influence on popular culture.",187 cm,14-Jan-1968 (57 years),"Bay Shore, New York (United States)",$120 Million,Capricorn,Married,African American
Dave Chappelle,images/Dave_Chappelle.jpg,"Dave Chappelle is an American comedian, actor, writer, and producer widely regarded as one of the greatest comedians of all time. He rose to prominence in the 1990s with his comedy sketches on the popular TV show ""Chappelle's Show"". In 2004, he famously walked away from a $50 million contract with Comedy Central to take a hiatus from the limelight. After a few years abroad, Chappelle made a comeback in 2013 and has since performed stand-up comedy across the world. He has also appeared in numerous films, including ""Robin Hood: Men in Tights"", ""You've Got Mail"", “The Nutty Professor,” “A Star Is Born,” and ""Chi-Raq"". Chappelle signed a six-episode deal with Netflix and released six stand-up specials at $20-million-per-release. Chappelle's biting social commentary, fearless approach to controversial topics, and ability to delve into the human experience have made him a beloved figure in comedy and popular culture.",183 cm,24-Aug-1973 (51 years),"Washington, D.C. (United States)",$60 Million,Virgo,Married,African-American
Garth Brooks,images/Garth_Brooks.jpg,"Garth Brooks is an American country singer, songwriter, and performer who has had a successful and influential career in the music industry. He rose to prominence in the 1990s with his unique blend of country, rock, and pop and quickly became one of the best-selling music artists of all time. Brooks has released numerous chart-topping albums and has had a string of hit singles, including ""Friends in Low Places,"" ""The Dance,"" and ""Thunder Rolls."" He has won numerous awards for his music, including multiple Grammy Awards and Country Music Association Awards. Brooks has also been credited with modernizing the country music genre and popularizing it to a wider audience. Garth Brooks has another unique feather in his cowboy hat. He is the only artist to have nine albums that received diamond certification in the USA. He has been inducted into the Country Music Hall of Fame and continues to be a major influence on the industry.",182 cm,07-Feb-1962 (63 years),"Tulsa, Oklahoma (United States)",$400 Million,Aquarius,Married,White
Jason Alexander,images/Jason_Alexander.jpg,"Jason Alexander is an American actor, director, and comedian best known for his role as George Costanza on the hit television show ""Seinfeld."" He got his start in theatre before transitioning to television and film. In addition to ""Seinfeld,"" Alexander has appeared in numerous other television shows and films, including ""Pretty Woman,"" “Hunchback of Notre Dame,” “The Marvelous Mrs. Maisel,” ""Dunston Checks In,"" and ""Listen Up."" He has also been a frequent voice actor for animated television shows and films. Alexander has received numerous award nominations for his work, including six Primetime Emmy Award nominations. He has also had a successful career as a stage actor, appearing in numerous Broadway productions, including ""The Producers"" and ""Jerome Robbins' Broadway."" Throughout his career, Alexander has been known for his versatility and ability to bring humour and heart to his performances.",164 cm,23-Sep-1959 (65 years),New Jersey (United States),$50 Million,Libra,Married,Caucasian
James Spader,images/James_Spader.jpg,"James Spader is an American actor best known for portraying eccentric characters. His most famous roles have been in films such as ""Sex, Lies, and Videotape,"" ""Crash,"" and ""Secretary."" He has also made a name for himself on television, with critically acclaimed performances in shows such as ""Boston Legal"" and ""The Blacklist.""  He also starred in Steven Spielberg’s Lincoln, and MCU’s Avengers: Age of Ultron. With a distinctive voice and unique acting style, Spader has become a fan favourite and one of the most recognizable faces in Hollywood. He has received numerous award nominations, including three Emmy Awards, for his work in television. Spader continues to act in film and television, showcasing his versatility as an actor and maintaining his status as one of the industry's most sought-after performers.",178 cm,07-Feb-1960 (65 years),Massachusetts (United States),$20 Million,Aquarius,Married,Caucasian
Pitbull,images/Pitbull.jpg,"Pitbull, also known as Mr. Worldwide, is a Cuban-American rapper and producer who has had a significant impact on the music industry. He is known for his charismatic personality and high-energy performances, as well as his catchy, dance-oriented tracks. Pitbull has collaborated with many popular artists and has been featured in numerous hit songs. He is also known for his remixes, which have become popular in the club scene. His ability to infuse different musical styles, such as hip-hop, pop, and Latin, into his music has earned him a broad and diverse following. Pitbull has received numerous awards and accolades for his contributions to the music industry and has sold millions of records worldwide. He continues to be a major influence on the music scene and is widely regarded as one of the most successful Latin American musicians of all time.",170 cm,15-Jan-1981 (44 years),Florida (United States),$100 Million,Capricorn,Single,Cuban-American
David Cross,images/David_Cross.jpg,"David Cross is an American comedian, writer, and actor. He rose to fame in the late 1990s as a performer and writer on the popular HBO sketch comedy series ""Mr. Show with Bob and David"". He has since become one of the most respected and influential comedians of his generation. He cemented his popularity as Tobias Fünke in Arrested Development. Cross' impact on the entertainment industry can be seen in his cutting-edge and socially conscious comedy, which often tackles political and cultural issues. He has been praised for his ability to push boundaries and for his innovative use of language and character work. In addition to his work in television and stand-up comedy, Cross has also had successful film roles, including ""Scary Movie 2"", ""Men in Black II"", and ""Eternal Sunshine of the Spotless Mind"". He has also written several books, including ""I Drink for a Reason"" and ""Making America Great Again!"". He continues to be a highly sought-after performer and a powerful voice in the world of comedy and entertainment.",170 cm,04-Apr-1964 (61 years),Atlanta (United States),$10 Million,Aries,Married,White
Vin Diesel,images/Vin_Diesel.jpg,"Vin Diesel is an American actor, producer, and filmmaker best known for his roles in high-octane action films such as the ""Fast and Furious"" franchise. He got his start in the entertainment industry as a performer and screenwriter before transitioning to acting. Diesel first gained recognition for his role as Richard B. Riddick in the film ""Pitch Black,"" which led to a successful career in action and sci-fi films. He rose to international fame with his role as Dominic Toretto in the ""Fast and Furious"" franchise, which has become one of the highest-grossing film series of all time. He also dubbed for the Guardians of the Galaxy franchise as Groot. In addition to his work as an actor, Diesel is also a prolific producer and has been involved in the production of several successful film franchises. Diesel is widely regarded as one of the most successful and influential action stars of his generation and continues to be a major player in the entertainment industry.",182 cm,18-Jul-1967 (57 years),California (United States),$225 Million,Cancer,Unknown,Multiracial
Ving Rhames,images/Ving_Rhames.jpg,"Ving Rhames is an American actor who has had a significant impact on Hollywood. He is a character actor best known for his powerful and charismatic performances in films and for his versatility. Some of the most prominent film roles of Rhames have been in ""Pulp Fiction,"" ""Mission: Impossible,"" its sequels, ""Out of Sight,"" ""Baby Boy,"" “Con Air,” “Jacob’s Ladder,” etc. He has worked with top directors like Quentin Tarantino, Steven Soderbergh, Martin Scorsese, etc. He is known for his ability to bring depth and nuance to even the most complex characters and for his ability to command the screen with his imposing presence. Rhames has continued to have a significant impact on the film industry and remains one of the most respected actors in the world.",183 cm,12-May-1959 (65 years),New York City (US),$25 Million,Taurus,Married,African-American
Billy Joel,images/Billy_Joel.jpg,"Billy Joel is an American singer-songwriter who is famously called the “Piano Man” referring to his hit song of the same name. He is one of the best-selling music artists of all time, with a string of hit albums and singles that have made him one of the most successful pop and rock performers of his generation. Joel's signature style combines elements of rock, pop, and classical music, and his catchy melodies and insightful lyrics have won him a devoted following around the world. He has had numerous hit singles, including ""Piano Man,"" ""Uptown Girl,"" and ""We Didn't Start the Fire,"" which have become classic rock standards. Joel has won numerous awards for his contributions to music, including a Grammy Legend Award and a Kennedy Center Honor. He continues to perform and tour, and his music continues to be widely beloved and celebrated.",165 cm,09-May-1949 (75 years),New York (United States),$225 Million,Taurus,Married,Caucasian
Jon Cryer,images/Jon_Cryer.jpg,"Jon Cryer is an American actor and comedian who began his career in the 1980s with roles in films such as ""Pretty in Pink"" and ""Superman IV: The Quest for Peace."" He found success on television in the 1990s with sitcoms like ""The Trouble with Normal"" and ""Partners."" However, his role as Alan Harper on the long-running CBS sitcom ""Two and a Half Men"" made him a household name. During his twelve seasons on the show, Cryer won two Primetime Emmy Awards and earned three additional nominations. Cryer has continues to work in both film and television, appearing in projects such as the Netflix comedy series ""A Series of Unfortunate Events"" and the CW superhero series ""Supergirl."" He has also returned to the stage, starring in productions of ""An American in Paris"" and ""Wait Until Dark.""",175 cm,16-Apr-1965 (59 years),New York (USA),$70 Million,Aries,Married,Caucasian
Taye Diggs,images/Taye_Diggs.jpg,"Taye Diggs is an American actor and singer who has had a significant impact on pop culture. He first gained recognition for his role as Benny in the original Broadway production of ""Rent"", which earned him a Tony Award nomination. Some of Diggs' most notable film roles include ""How Stella Got Her Groove Back"", ""The Best Man"", and ""Chicago"". He has also appeared in popular television shows such as ""Private Practice"" and ""Empire"". Diggs' impact on pop culture can be seen in his ability to bring charm, humor, and sex appeal to his roles. He is known for his good looks, smooth demeanour, and commanding presence, which has made him one of the most popular actors in Hollywood. He continues to have a significant impact on pop culture and remains one of the most beloved and respected actors in the world.",178 cm,02-Jan-1971 (54 years),New Jersey (United States),$14 Million,Capricorn,Single,African-American
Steve Harvey,images/Steve_Harvey.jpg,"Steve Harvey is an American comedian, television host, radio personality, and author who has made a significant impact on American pop culture. He rose to fame as a stand-up comedian and he has since become a popular figure in American entertainment. Harvey is best known for hosting shows, including ""The Steve Harvey Show,"" ""Family Feud,"" and ""Little Big Shots."" Harvey's influence on American pop culture can be attributed to his distinctive humour and entertaining style, which has made him one of the most beloved figures in American entertainment. Harvey has also been a vocal advocate for the African American community and has used his platform to bring attention to important social and political issues. Harvey has also been a successful author, having written several bestselling books, including ""Act Like a Lady, Think Like a Man"" and ""Jump."" He has also been a successful businessman, having launched several successful business ventures, including a clothing line and a television production company. Steve Harvey's impact on American pop culture is due to his unique sense of humour, relatable style, and ability to connect with audiences.",188 cm,17-Jan-1957 (68 years),West Virginia (United States),$200 Million,Capricorn,Married,African-American
Moby,images/Moby.jpg,"Moby is an American musician, DJ, and producer. He rose to prominence in the 1990s with his electronic dance music (EDM) and became one of the most successful and influential DJs of his generation. His breakthrough album, ""Play"", sold over 10 million copies worldwide and spawned several hit singles, including ""Porcelain"" and ""Why Does My Heart Feel So Bad?"" Moby's impact on the music industry can be seen in his innovative use of samples, his incorporation of different musical styles, and various philosophical and spiritual elements into his work. He has been a pioneer in the field of EDM and has collaborated with numerous artists, including Public Enemy, Gwen Stefani, and The Postal Service. In addition to his music career, Moby is also an animal rights activist and has been involved in various environmental and political causes. He has written several books, including ""Porcelain: A Memoir"" and ""Then It Fell Apart"".",178 cm,11-Sep-1965 (59 years),"Harlem, New York (USA)",$25 Million,Virgo,Single,Caucasian
Billy Zane,images/Billy_Zane.jpg,"Billy Zane is an American actor, producer, and director. He rose to fame in the 1990s with his role as the villainous Cal Hockley in the epic romantic disaster film ""Titanic"". He has since built a diverse and extensive film career that spans over three decades. Zane's other notable film roles include ""The Phantom"", ""Taxi"", and ""Twin Peaks"". He has also appeared in various television shows, including ""Charmed"" and ""House"". Zane has also worked behind the scenes, producing and directing several short films and music videos. Zane has established himself as a versatile performer who can tackle a wide range of genres and styles. His impact on the film industry can be seen in his ability to bring energy and intensity to his roles and in his willingness to take risks and tackle challenging roles. He remains a sought-after performer and continues to make an impact on Hollywood with his unique brand of acting.",183 cm,24-Feb-1966 (59 years),"Chicago, Illinois (United States)",$20 Million,Pisces,Dating,Greek-American
Larry David,images/Larry_David.jpg,"Larry David is an American comedian, writer, actor, and producer who has had a significant impact on the comedy scene. He co-created and starred in the hit television show “Seinfeld,"" which has been widely regarded as one of the greatest sitcoms of all time. In addition, he has also starred in and created the HBO series ""Curb Your Enthusiasm.""  David's unique brand of humor, characterized by his self-deprecating and often politically incorrect humor, has inspired numerous comedians and has had a lasting impact on the comedy genre. He has received critical acclaim for his work, and his style has been imitated by many comedians. Larry David has had a profound influence on the comedy scene, and his contributions to the field continue to be celebrated and remembered.",180 cm,02-Jul-1947 (77 years),Brooklyn (United States),$500 Million,Cancer,Married,Caucasian
Tyrese Gibson,images/Tyrese_Gibson.jpg,"Tyrese Gibson is an American actor, singer, and model best known for his work in Hollywood. He rose to prominence as a model in the 1990s before transitioning to acting and music. Gibson began his modeling career, appearing in numerous music videos and advertisements. He made his acting debut in the 1998 film ""Baby Boy"" and went on to appear in a number of successful films, including ""2 Fast 2 Furious,"" ""Transformers,"" ""Fast & Furious,"" “Morbius,” etc. Gibson is also a talented singer, and has released several albums, including ""Tyrese,"" ""I Wanna Go There,"" and ""Open Invitation."" His hit singles include “How You Gonna Act Like That.” In 2007, he released his first book, ""How to Get Out of Your Own Way,"" which was a New York Times bestseller. Tyrese Gibson has demonstrated his versatility and has established himself as a multi-talented performer with a wide range of skills and interests.",180 cm,30-Dec-1978 (46 years),California (United States),$6 Million,Capricorn,Dating,African-American
Howie Mandel,images/Howie_Mandel.jpg,"Howie Mandel is a Canadian comedian, actor, television host, and producer. He first rose to prominence in the 1980s as a cast member in the medical drama ""St. Elsewhere"". Initially, he gained prominence as the host of the popular game show ""Deal or No Deal"". He is also popular as the judge of America's Got Talent and Canada's Got Talent. Mandell's impact on the entertainment industry can be seen in his versatility and range as a performer. He has made a successful transition from comedy to drama, with notable film roles in ""Little Monsters"", ""Walk Like a Man"", and ""Getting Even with Dad"". He has also lent his voice to various animated films and television shows, including ""Bobby's World"" and ""Gremlins"". In addition to his work in film and television, Mandel is known for his stand-up comedy, which has earned him recognition as one of the most popular comedians in the world. He has had a lasting impact on the entertainment industry and in the world of film and music.",178 cm,29-Nov-1955 (69 years),"Toronto, Ontario, Canada",$60 Million,Sagittarius,Married,Jewish
Mark Strong,images/Mark_Strong.jpg,"Mark Strong is a versatile English actor known for his powerful performances in film and television. He first gained recognition for his stage performances in London's West End before transitioning to film and television. Strong has had a long and successful career, appearing in numerous critically acclaimed productions. Some of his most notable film roles include ""RocknRolla,"" ""Sherlock Holmes,"" “Tinker Tailor Soldier Spy,” “The Imitation Game,” and ""Zero Dark Thirty."" He has also received recognition for his TV work, including his performance in the series ""Low Winter Sun.""  Strong has been nominated for several awards and has received critical praise for his performances, with many reviewers praising his ability to bring depth and nuance to his characters. He is widely regarded as one of the finest actors of his generation, known for his range and ability to bring a sense of authenticity to his roles.",188 cm,05-Aug-1963 (61 years),London (United Kingdom),$9 Million,Leo,Married,British
Mike Tyson,images/Mike_Tyson.jpg,"Mike Tyson is an American former professional boxer and entertainer. He is best known for his dominant performances in the ring, during which he became the youngest heavyweight champion in history. However, Tyson has also made a name for himself in the entertainment world, particularly in film. He made his film debut in the 1991 film ""The Hangover"" as himself. He has since appeared in several other films, including ""Play it to the Bone,"" ""Scary Movie 5,"" and ""Entourage.""  Tyson has also lent his voice to animated projects, including the ""The SpongeBob SquarePants Movie"" and the ""Mike Tyson Mysteries"" television series. Tyson's entry into the film world has allowed him to showcase his comedic and acting skills as well as his larger-than-life personality. Despite his reputation for being a controversial figure, Tyson's film career has been well-received by audiences and has helped to establish him as a versatile entertainer.",178 cm,30-Jun-1966 (58 years),New York (United States),$10 Million,Cancer,Married,African-American
Yul Brynner,images/Yul_Brynner.jpg,"Yul Brynner was a Russian-born American actor best known for his stage and film performances. He made his film debut in 1949 and starred in ""The King and I"", a role that he had already played on stage. He quickly became known for his commanding presence and distinctive voice. He reprised his role as the King of Siam in the stage and film productions of ""The King and I"" for over 4,000 performances, making him one of the longest-running actors in a musical in the history of both stage and film. Brynner received a Tony Award and an Academy Award for his role. Throughout his career, he appeared in numerous other films, including ""Anastasia,"" ""The Ten Commandments,"" “The Magnificent Seven,” and ""Westworld."" He is widely regarded as one of the greatest actors of his time and was inducted into the American Theatre Hall of Fame in 1981.",173 cm,11-Jul-1920 (104 years),Vladivostok (Russia),,Cancer,Unknown,Russian
Damon Wayans,images/Damon_Wayans.jpg,"Damon Wayans is an American actor, comedian, writer, and producer. He rose to fame in the 1990s as a cast member on the sketch comedy show ""In Living Color”. He is best known for his role as Michael Kyle in the popular sitcom ""My Wife and Kids"". Wayans' impact on the entertainment industry can be seen in his ability to bring humour and satire to a wide range of subjects. He is known for his quick wit, physical comedy, and socially conscious comedy, which has made him one of the most influential comedians of his generation. In addition to his work in television, Wayans has also had successful film roles, including ""Mo' Money’, ""Blankman"", and ""Bamboozled"". He has also written several books, including ""Red Hats"" and ""Way Outs: My Thoughts on Life, Love, and Stand-up Comedy"".",188 cm,04-Sep-1960 (64 years),New York (United States),$35 Million,Virgo,Single,African-American
Terry Crews,images/Terry_Crews.jpg,"Terry Crews is an American actor, former NFL player, and television host known for his charismatic and larger-than-life personality. He first rose to prominence as a football player before transitioning into acting in the late 1990s. Crews is known for his roles in films such as ""Battle Dome,"" ""The Expendables,"" and ""Brooklyn Nine-Nine."" He has also become a popular television host, serving as the host of the game show ""Who Wants to Be a Millionaire?"" and hosting several seasons of the reality competition series ""America's Got Talent."" Crews is widely regarded as a cultural icon and has a significant impact on pop culture and Hollywood. He is known for his humorous and entertaining interviews and his enthusiastic approach to life. He has become a popular internet meme and has amassed a large social media following. He is also known for his activism, advocating for various causes such as health and wellness, and is regarded as a role model for many people.",188 cm,30-Jul-1968 (56 years),Michigan (United States),$25 Million,Leo,Married,African-American
Jason Statham,images/Jason_Statham.jpg,"Jason Statham is an English actor and producer known for his action-packed performances in film and television. He began his career as a professional diver and later became a model before transitioning into acting. Statham first rose to prominence in the late 1990s and early 2000s with his roles in films such as ""Lock, Stock and Two Smoking Barrels"" and ""Snatch."" He then gained widespread recognition for his roles in the ""The Transporter"" franchise and other action films such as ""Crank,"" ""Death Race,"" and ""The Expendables."" Statham is known for his athletic and intense performances, often performing his own stunts in his films. He has become one of the most sought-after actors in the action genre and has had a long and successful career, appearing in numerous films. Statham's impact on Hollywood is significant, and he continues to be widely regarded as one of the leading actors in the action genre.",178 cm,26-Jul-1967 (57 years),Shirebrook (United Kingdom),$90 Million,Leo,Dating,Caucasian
Tom Colicchio,images/Tom_Colicchio.jpg,"Tom Colicchio is an American celebrity chef, restaurateur, and television personality. He is best known for his expertise in the culinary world and his appearances on several popular food-related television shows. Colicchio is a highly regarded chef who has worked in some of the finest restaurants in the United States. He is the founder of Crafted Hospitality, a restaurant group that operates several successful restaurants across the United States. He also co-founded Gramercy Tavern in NYC. Colicchio is widely recognized for his appearances on several popular food-related television shows, including ""Top Chef,"" ""Top Chef Masters,"" and ""Best New Restaurant."" He has also published several cookbooks and is known for his commitment to promoting sustainable and ethical food practices.",178 cm,15-Aug-1962 (62 years),Elizabeth (New Jersey),$20 Million,Leo,Married,Italian-American
Jerry Doyle,images/Jerry_Doyle.jpg,"Jerry Doyle was an American radio host, talk show host, political commentator, and actor. He was best known for his radio show ""The Jerry Doyle Show,"" which was syndicated nationally and aired for several years. Doyle was known for his conservative political views and his outspoken commentary on current events, which made him a popular figure among conservative listeners. He was also a prolific actor and appeared in numerous films and television shows, including ""Babylon 5,"" in which he played the character Michael Garibaldi. Doyle's celebrity status was largely based on his radio show and his acting career, and he was widely recognized as a respected and influential figure in the conservative media landscape. Unfortunately, Jerry Doyle passed away in 2016.",190 cm,16-Jul-1956 (68 years),New York City (United States),,Cancer,Single,Caucasian
